Job,Date,Cost,Vendor,Description,
Almar,1/19/2017,$17.75,Blueprint Express ,"bond, bond photocopy ",
Almar,1/19/2017,$8.87,Blueprint Express ,"bond, bond photocopy ",
Whispering Pines,1/20/2017,$8.87,Blueprint Express,"bond, bond photocopy ",
Almar,1/20/2017,$30.05,Home Depot,"outlet, wall plate",
aloha,1/23/2017,$323.61,Scotts Valley Sprinkler & Pipe Supply ,"flow pipe, coupler",
aloha,1/23/2017,$65.18,San Lorenzo Lumber,"wood handle, wheel barrow tube",
aloha,1/24/2017,$19.44,Ewin Irrigation,flexdrain elbow and end cap,
aloha,1/24/2017,$9.64,Ewin Irrigation,"drain coupling, flexdrain snap adaptor",
aloha,1/24/2017,$52.53,San Lorenzo Lumber,"shovel, coupling, gloves",
aloha,1/24/2017,$194.37,San Lorenzo Lumber,pipe,
aloha,1/24/2017,$420.01,Aptos Landscape Supply,crushed granite,
Whispering Pines,1/30/2017,$104.05,San Lorenzo Lumber,"post base, concrete mix",
Almar,1/30/2017,$12.79,Blueprint Express ,"bond, bond photocopy ",
Whispering Pines,1/31/2017,$10.30,Big Creek Lumber,cap for XD,
Whispering Pines,1/31/2017,-$17.57,San Lorenzo Lumber,return,
Whispering Pines,2/1/2017,-$132.21,San Lorenzo Lumber,return,
Whispering Pines,2/1/2017,$257.57,San Lorenzo Lumber,"4x4, 2x12 lumber",
Almar,2/4/2017,$21.75,Buena Vista Landfill,dump,
Almar,2/8/2017,$87.00,A Tool Shed,"chisel, demolition, point moil",
Almar,2/8/2017,$34.20,Buena Vista Landfill,dump,
Whispering Pines,2/9/2017,-$132.21,San Lorenzo Lumber,return,
Whispering Pines,2/10/2017,$149.32,San Lorenzo Lumber,4x4 lumber,
Almar,2/13/2017,$130.95,San Lorenzo Lumber ,"lumber, flashing",
Almar,2/14/2017,$93.05,San Lorenzo Lumber ,concrete mix,
Almar,2/14/2017,$36.66,San Lorenzo Lumber ,"diamond blade, construction line, chalk",
Almar,2/15/2017,$170.27,San Lorenzo Lumber ,"hanger, spacer, fastener, lumber",
Almar,2/15/2017,$38.95,San Lorenzo Lumber ,concrete mix,
Almar,2/15/2017,$46.74,San Lorenzo Lumber ,concrete mix,
Almar,2/16/2017,-$72.30,San Lorenzo Lumber ,return,
Whispering Pines,2/21/2017,$6.38,Blueprint Express,bonds,
